id;title;description;status;organizer_id;organizer_name;start_date_time;end_date_time;use_all_day;use_recurrence;use_response;pin
1;Cheese navigate;동 Triple-buffered SQL;COMFIRMED;동 synthesizing;invoice Sleek withdrawal;2022-06-08;2022-06-08;true;false;false;seamless
2;Ecuador Pa'anga Accounts;green;AUTO_CANCELED;Brunei Outdoors Computer;Orchestrator 1080p;2022-06-08;2022-06-08;true;false;false;IB
3;Cambridgeshire transmitting;Islands;CANCELLED;orange Multi-lateral;driver;2022-06-08;2022-06-08;true;true;true;leverage Object-based Metrics
4;동 bandwidth;Bedfordshire Executive;RESERVED;PNG PCI;인천 granular;2022-06-08;2022-06-09;true;true;true;copy Grass-roots
5;Account evolve Qatar;Branding Metal 1080p;COMFIRMED;읍 virtual hack;Islands Morocco Savings;2022-06-08;2022-06-08;true;true;true;Borders
6;Bedfordshire Producer azure;services Rufiyaa 전남;LEAVING;Representative Rubber;Rubber Gold interactive;2022-06-08;2022-06-08;true;false;true;groupware
7;Health customer Concrete;synergistic Tools 전북;AUTO_CANCELED;Dynamic Persistent Operations;충북;2022-06-09;2022-06-09;false;false;false;Human
8;세종 users;Nepalese;LEAVING;user-centric;Unit Integration;2022-06-08;2022-06-08;true;true;false;portal
9;JSON;Analyst B2C invoice;LEAVING;Berkshire Total software;Tuna 읍 firewall;2022-06-09;2022-06-08;false;false;false;pixel viral magenta
10;toolset;대구;AUTO_CANCELED;Response;utilisation copying 대구;2022-06-08;2022-06-08;true;true;true;Concrete
